,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
,Produção de lavouras temporárias,774,-,-,-,40,1,-,-,-,3,698,1,1,-,1,-,2,-,10,41,5,8,15,-,17,34,22,-,-,-,23,4,16,86,10012,4,1,-,303,1,8,-,1,24,9458,5,98,4,15,1,68,2,18,481,33,117,62,-,142,227,112,9,-,-,339,19,225,1194
,Horticultura e floricultura,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,61,-,-,-,5,-,-,-,-,2,21,1,1,1,-,-,1,-,1,18,2,1,4,-,-,2,1,-,-,-,2,-,4,13
,Produção de lavouras permanentes,61,-,-,-,2,-,-,-,-,1,29,-,-,-,-,-,1,-,-,19,2,3,4,-,1,-,2,-,-,-,3,-,5,6,405,-,-,-,11,2,3,-,1,4,274,-,2,-,-,-,4,-,-,75,7,6,10,-,2,3,8,-,-,-,28,-,13,35
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pecuária e criação de outros animais,479,1,-,-,39,-,-,-,-,9,221,4,-,-,1,2,1,-,6,50,118,1,15,-,30,29,37,6,-,-,35,16,15,28,2343,-,-,-,132,1,5,1,2,48,1254,10,20,-,-,5,7,1,20,149,592,20,63,-,83,77,99,15,-,-,158,37,66,183
,Produção florestal - florestas plantadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Produção florestal - florestas nativas,63,-,-,-,14,-,-,-,-,1,26,5,1,-,-,-,-,-,-,9,1,2,6,-,2,2,6,-,-,-,7,12,8,6,516,-,3,-,137,-,1,-,-,4,292,1,3,-,1,-,2,-,5,56,6,-,8,-,26,60,63,2,-,-,75,3,31,55
,Pesca,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,4,-,-,-
,Aquicultura,93,-,-,-,3,-,-,-,-,-,45,-,-,-,-,-,-,-,1,34,8,3,3,-,2,4,-,-,-,-,-,-,7,5,4,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Amazonas,Total,5326,-,-,-,12,-,1,1,1,58,4202,-,2,-,17,18,15,21,146,743,388,7,469,-,19,14,15,4,1,-,126,9,469,2184,50266,16,53,1,71,9,27,1,16,278,46271,33,338,1,510,28,103,312,1922,4175,1528,54,4134,5,50,65,453,301,3,4,1760,70,5313,23795
,Produção de lavouras temporárias,3351,-,-,-,11,-,-,1,-,14,3266,-,1,-,10,-,9,9,95,198,1,5,228,-,3,4,6,2,-,-,80,2,291,1697,36620,10,21,-,62,3,10,1,3,125,36069,18,134,-,210,2,76,216,1454,1955,60,39,2562,4,6,26,260,215,-,2,999,36,3736,18229
,Horticultura e floricultura,47,-,-,-,-,-,-,-,-,2,28,-,-,-,-,-,-,-,3,10,1,-,5,-,-,-,-,-,-,-,-,-,8,15,587,1,9,-,1,-,1,-,-,9,446,4,38,-,18,-,1,2,21,136,4,-,84,-,-,-,-,-,-,-,53,1,118,267
,Produção de lavouras permanentes,676,-,-,-,-,-,1,-,-,8,311,-,-,-,6,1,3,5,12,303,6,-,109,-,-,5,1,-,-,-,8,1,38,144,4118,2,8,-,1,4,9,-,-,42,3004,3,1,1,14,-,8,15,152,1233,13,5,391,1,6,15,33,7,-,-,76,3,285,1309
,Produção de sementes e mudas certificadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,4,-,-,1,-,-,-,1,-,-,-,-,-,-,1
,Pecuária e criação de outros animais,813,-,-,-,-,-,-,-,1,30,273,-,-,-,1,17,1,1,15,126,377,-,54,-,15,5,4,2,-,-,8,2,64,107,3488,1,-,-,2,2,4,-,13,76,1723,2,3,-,3,24,9,10,72,415,1441,6,128,-,34,15,19,5,3,1,56,8,262,791
,Produção florestal - florestas plantadas,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,76,-,-,-,-,-,-,-,-,1,72,-,-,-,21,-,-,-,2,2,-,-,23,-,-,-,2,-,-,-,27,-,38,65
,Produção florestal - florestas nativas,243,-,-,-,1,-,-,-,-,-,197,-,1,-,-,-,-,6,13,45,1,-,56,-,-,-,2,-,-,-,24,4,41,141,4103,1,15,1,5,-,3,-,-,18,3744,1,162,-,241,2,4,63,146,380,8,2,818,-,4,7,134,70,-,1,498,18,729,2433
,Pesca,97,-,-,-,-,-,-,-,-,2,89,-,-,-,-,-,2,-,8,3,-,2,10,-,-,-,-,-,-,-,3,-,17,64,1244,1,-,-,-,-,-,-,-,7,1196,5,-,-,3,-,5,5,74,38,2,2,125,-,-,2,4,4,-,-,50,4,144,696
,Aquicultura,96,-,-,-,-,-,-,-,-,2,37,-,-,-,-,-,-,-,-,58,2,-,7,-,1,-,2,-,1,-,1,-,10,16,23,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,1,-,12,-,-,2,-,-,-,-,-,-,-,1,-,1,4
Roraima,Total,1003,-,4,-,7,-,2,-,-,27,595,1,-,3,-,3,2,-,1,57,91,-,12,-,162,102,56,46,3,2,18,1,195,172,6158,-,23,-,45,-,5,1,1,68,4296,2,-,2,5,4,4,1,6,335,184,3,60,-,305,181,42,38,1,7,41,3,2252,1265
